player_name,pfr_id,position,weight_lbs,height_in,arm_length_in,hand_size_in,yard_40_dash_sec,yard_10_split_sec,cone_drill_sec,yard_20_shuttle_sec,vertical_jump_in,broad_jump_in,bench_press_reps
bene  benwikere,BenwBe00,cb,195.0,60.0,30.0,9.125,4.6,,6.94,4.38,40.5,122.0,10.0
benjamin st-juste,StJuBe00,cb,202.0,72.0,32.625,9.375,4.55,1.57,6.63,4.01,34.5,119.0,11.0
bennett skowronek,SkowBe00,wr,220.0,72.0,33.25,10.125,,,,,,,13.0
bennie joppru,JoppBe00,te,272.0,72.0,,,4.78,,,,30.5,109.0,19.0
bennie logan,LogaBe00,dt,309.0,72.0,34.0,10.25,,,7.53,4.67,25.0,104.0,30.0
benny snell,SnelBe00,rb,224.0,60.0,31.0,9.375,4.66,,7.07,4.33,29.5,119.0,16.0
bernard berrian,BerrBe00,wr,183.0,72.0,,,4.58,,,4.21,38.0,128.0,
bernard pierce,PierBe00,rb,218.0,72.0,,,4.49,,7.07,4.28,36.0,123.0,17.0
bernard scott,ScotBe00,rb,200.0,60.0,,,4.44,,,4.08,36.0,125.0,21.0
bethel johnson,JohnBe00,wr,201.0,60.0,,,4.38,1.55,,,38.5,127.0,17.0
bijan robinson,RobiBi01,rb,215.0,60.0,31.125,9.75,4.46,1.52,,,37.0,124.0,
bilal nichols,NichBi00,dt,306.0,72.0,33.375,10.25,4.95,1.72,7.45,4.49,30.5,112.0,29.0
bilal powell,PoweBi00,rb,207.0,60.0,30.875,8.75,4.51,1.53,,,,,18.0
bill ferrario,FerrBi20,g,314.0,72.0,,,5.3,,,,,,17.0
billy bajema,BajeBi00,te,261.0,72.0,,,4.74,,,4.3,31.5,113.0,16.0
billy price,PricBi01,c,305.0,72.0,32.0,9.75,,,,,,,
billy turner,TurnBi00,ot,315.0,72.0,34.0,10.0,5.16,1.75,7.92,4.71,28.0,108.0,25.0
bishop sankey,SankBi00,rb,209.0,60.0,31.0,10.0,4.49,1.59,6.75,4.0,35.5,126.0,26.0
bisi johnson,JohnOl00,wr,204.0,72.0,30.75,10.375,4.51,,6.88,4.16,38.0,124.0,14.0
blaine gabbert,GabbBl00,qb,234.0,72.0,33.0,10.0,4.61,,,4.26,33.5,120.0,
blair brown,BrowBl00,lb,238.0,60.0,31.25,9.375,4.65,,6.92,4.18,37.0,124.0,
blake bell,BellBl00,te,252.0,72.0,33.125,10.0,4.8,1.67,6.85,4.32,33.0,116.0,14.0
blake bortles,BortBl00,qb,232.0,72.0,32.875,9.375,4.93,1.72,7.08,4.21,32.5,115.0,
blake cashman,CashBl00,lb,237.0,72.0,30.125,8.75,4.5,,6.95,4.12,37.5,124.0,18.0
blake ferguson,FergBl00,ls,229.0,72.0,31.375,9.75,5.07,,7.43,4.52,31.0,112.0,
blake freeland,FreeBl00,ot,302.0,72.0,33.875,10.0,4.98,1.68,7.46,4.71,37.0,120.0,
bo melton,MeltBo00,wr,189.0,60.0,31.25,9.0,4.34,1.5,6.98,,38.0,121.0,
bo scaife,ScaiBo00,te,249.0,72.0,,,4.75,,,4.14,32.5,114.0,24.0
bo scarbrough,ScarBo01,rb,228.0,72.0,33.5,10.0,4.52,,,4.34,40.0,129.0,14.0
bobby brown,BrowBo04,dt,321.0,72.0,34.75,10.5,5.04,1.68,7.62,4.58,33.0,113.0,
bobby mccain,McCaBo01,cb,195.0,60.0,30.5,9.0,4.51,1.6,6.8,3.82,36.0,130.0,17.0
bobby wade,WadeBo00,wr,193.0,60.0,,,4.66,,,4.11,34.5,115.0,
bopete keyes,KeyeTh00,cb,202.0,72.0,32.625,8.75,,,,,36.0,126.0,
boss bailey,BailBo20,olb,233.0,72.0,,,4.58,,,,42.0,135.0,
brad bedell,BedeBr20,g,302.0,72.0,,,5.07,,,4.58,31.5,103.0,17.0
brad cottam,CottBr00,te,270.0,72.0,,,4.63,,,,33.0,,24.0
brad kaaya,KaayBr00,qb,214.0,72.0,32.0,9.75,,,,,,,
brad meester,MeesBr20,c,298.0,72.0,,,5.12,,,4.43,34.0,110.0,25.0
brad robbins,RobbBr00,p,199.0,72.0,30.375,9.0,,,,,,,
brad sorensen,SoreBr00,qb,229.0,72.0,32.25,9.25,4.97,1.65,7.17,4.55,29.0,112.0,
braden mann,MannBr01,p,198.0,60.0,30.0,9.25,4.83,,7.03,4.13,31.0,111.0,
bradlee van pelt,VanPBr00,qb,223.0,72.0,,,4.98,,,4.15,33.5,115.0,
bradley roby,RobyBr00,cb,194.0,60.0,31.5,10.25,4.39,1.47,,4.04,38.5,124.0,17.0
brady christensen,ChriBr00,ot,302.0,72.0,32.25,10.25,4.9,1.71,7.33,4.52,34.0,124.0,30.0
brady quinn,QuinBr00,qb,232.0,72.0,,,4.73,,,,,,24.0
braeden daniels,DaniBr00,g,294.0,72.0,33.0,9.375,4.99,1.71,7.53,4.6,30.5,109.0,
brandin cooks,CookBr00,wr,189.0,60.0,30.75,9.625,4.33,1.5,6.76,3.81,36.0,120.0,16.0
brandin echols,EchoBr00,cb,179.0,60.0,30.25,9.125,4.36,1.46,6.84,4.12,42.5,136.0,13.0
brandon aiyuk,AiyuBr00,wr,205.0,72.0,33.5,9.75,4.5,,,,40.0,128.0,11.0
brandon allen,AlleBr00,qb,217.0,72.0,31.25,8.875,4.84,1.71,7.06,4.33,28.0,110.0,
brandon doughty,DougBr00,qb,213.0,72.0,32.0,9.125,5.22,1.81,7.49,4.52,27.0,103.0,
