passer_player_id,season,passing_epa,qb_epa,dropbacks,epa_per_dropback,qb_epa_per_dropback,epa_per_dropback_prior,rookie_flag,qb_epa_per_dropback_prior,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0019559,2002,104.92425802742565,118.27064742421118,422.0,0.24863568252944468,0.2802621976877042,-0.13098704520269253,0,-0.13098704520269253,3,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019559,2003,17.717467314412165,21.36847302296646,323.0,0.0548528399827002,0.06615626322899833,0.24863568252944468,0,0.2802621976877042,4,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019559,2004,17.162587639920172,26.58158684270246,391.0,0.043894086035601465,0.06798359806317765,0.0548528399827002,0,0.06615626322899833,5,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019559,2005,-8.050093357186709,-8.050093357186709,92.0,-0.08750101475202944,-0.08750101475202944,0.043894086035601465,0,0.06798359806317765,6,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019559,2006,19.744524419156885,25.649600876169796,508.0,0.038867174053458436,0.050491340307420855,-0.08750101475202944,0,-0.08750101475202944,7,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019559,2007,-3.394532639853607,-0.20573888820963626,285.0,-0.011910640841591604,-0.0007218908358232851,0.038867174053458436,0,0.050491340307420855,8,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019559,2008,90.13042995816429,90.13042995816429,498.0,0.18098479911277968,0.18098479911277968,-0.011910640841591604,0,-0.0007218908358232851,9,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019559,2009,-12.56956714675327,-0.08827010488168474,78.0,-0.16114829675324704,-0.0011316680113036505,0.18098479911277968,0,0.18098479911277968,10,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019596,2001,11.474408800750224,14.04847208192963,454.0,0.025274028195485073,0.030943771105571873,-0.4474919776742657,0,-0.4474919776742657,2,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2002,6.728501830706266,13.251537683352256,636.0,0.010579405394192241,0.02083575107445323,0.025274028195485073,0,0.030943771105571873,3,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2003,26.31154984933782,34.83746180834241,559.0,0.047068962163395026,0.06232104080204367,0.010579405394192241,0,0.02083575107445323,4,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2004,109.15737756536477,120.33042992834602,498.0,0.2191915212155919,0.24162736933402815,0.047068962163395026,0,0.06232104080204367,5,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2005,100.78113015853106,110.78138639918998,557.0,0.1809356017208816,0.19888938312242366,0.2191915212155919,0,0.24162736933402815,6,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2006,47.23820167074739,69.819375843092,544.0,0.08683492954181504,0.12834444088803676,0.1809356017208816,0,0.19888938312242366,7,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2007,250.0281579677097,250.0281579677097,599.0,0.4174092787440896,0.4174092787440896,0.08683492954181504,0,0.12834444088803676,8,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
