receiver_player_id,season,receiving_epa,targets,epa_per_target,epa_per_target_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0020490,2005,26.070414401299786,22,1.1850188364227174,1.2539296811088458,0,5,1.0,9.0,205.0,73.0,,,,4.61,,,,,,38.5,123.0,,00-0020490,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020490,2007,13.239489654415681,21,0.6304518883055087,1.4106439901100072,0,7,1.0,9.0,205.0,73.0,,,,4.61,,,,,,38.5,123.0,,00-0020490,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020490,2008,32.04875759911374,31,1.0338308902939917,0.6304518883055087,0,8,1.0,9.0,205.0,73.0,,,,4.61,,,,,,38.5,123.0,,00-0020490,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020494,2002,12.46395819889585,52,0.23969150382492022,-0.7225923932453326,0,2,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2003,90.36680830329792,75,1.2048907773773054,0.23969150382492022,0,3,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2004,70.6787298360141,45,1.5706384408003133,1.2048907773773054,0,4,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2005,138.8647170762124,84,1.6531513937644333,1.5706384408003133,0,5,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2006,67.85874354127414,56,1.2117632775227525,1.6531513937644333,0,6,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2007,66.5370659395121,61,1.090771572778887,1.2117632775227525,0,7,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2008,78.85579826237043,79,0.9981746615489927,1.090771572778887,0,8,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2009,-2.5820709139936446,120,-0.021517257616613706,0.9981746615489927,0,9,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2010,17.795227047988185,145,0.12272570377922885,-0.021517257616613706,0,10,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2011,0.2957068689741975,97,0.003048524422414407,0.12272570377922885,0,11,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2012,34.11222600307568,62,0.5501971935979949,0.003048524422414407,0,12,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020494,2013,-12.320109463862062,78,-0.15795012133156489,0.5501971935979949,0,13,1.0,16.0,193.0,70.0,,,,4.31,,,,,,42.0,,,00-0020494,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020497,2001,8.740714847977145,43,0.20327243832504988,0.0,1,1,1.0,25.0,195.0,72.0,,,,4.46,,,,,4.06,39.5,120.0,,00-0020497,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020497,2002,-3.7109249357633156,24,-0.1546218723234715,0.20327243832504988,0,2,1.0,25.0,195.0,72.0,,,,4.46,,,,,4.06,39.5,120.0,,00-0020497,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
