defender_id,season,total_def_epa,plays,def_epa_per_play,def_epa_per_play_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0021085,2009,13.284832169098081,69,0.1925337995521461,-0.24984402927137644,0,8,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2010,7.156252805609255,47,0.1522606979916863,0.1925337995521461,0,9,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2011,5.037618770089467,41,0.122868750489987,0.1522606979916863,0,10,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2012,4.2830973147647455,25,0.17132389259058983,0.122868750489987,0,11,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021092,2008,5.613733486505225,21,0.26732064221453455,0.8726944988369846,0,6,5.0,139.0,312.0,75.0,,,,5.0,,,,,4.24,29.0,99.0,24.0,00-0021092,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021092,2010,13.27670031213621,22,0.6034863778243732,0.3286732721732863,0,8,5.0,139.0,312.0,75.0,,,,5.0,,,,,4.24,29.0,99.0,24.0,00-0021092,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021092,2011,13.993235386384185,25,0.5597294154553674,0.6034863778243732,0,9,5.0,139.0,312.0,75.0,,,,5.0,,,,,4.24,29.0,99.0,24.0,00-0021092,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021092,2012,9.171065689297393,28,0.32753806033204974,0.5597294154553674,0,10,5.0,139.0,312.0,75.0,,,,5.0,,,,,4.24,29.0,99.0,24.0,00-0021092,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021171,2005,10.603369507229928,20,0.5301684753614964,0.2132668342061439,0,4,2.0,42.0,293.0,74.0,,,,4.93,,,,,4.35,30.0,102.0,,00-0021171,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0021177,2003,4.981659375736488,40,0.1245414843934122,-0.5233522517428355,0,2,2.0,49.0,240.0,74.0,,,,4.67,,,,,,31.0,110.0,,00-0021177,lb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0021186,2003,-0.21818843915490582,49,-0.004452825288875629,0.18049270865191733,0,2,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2004,-7.374804166306016,77,-0.09577667748449371,-0.004452825288875629,0,3,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2005,-3.238060317612616,69,-0.04692841040018284,-0.09577667748449371,0,4,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2006,-1.048096790193057,42,-0.02495468548078707,-0.04692841040018284,0,5,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2007,-17.00634361326229,64,-0.26572411895722325,-0.02495468548078707,0,6,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2008,-8.372850229352812,51,-0.16417353390887868,-0.26572411895722325,0,7,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2009,1.3323213985935418,54,0.024672618492472997,-0.16417353390887868,0,8,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2010,-20.65901922617411,45,-0.45908931613720244,0.024672618492472997,0,9,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2011,-18.529675616766326,47,-0.3942484173780069,-0.45908931613720244,0,10,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021186,2012,-7.324282786052208,60,-0.1220713797675368,-0.3942484173780069,0,11,2.0,59.0,200.0,70.0,,,,4.47,,,,,4.24,36.5,120.0,15.0,00-0021186,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021197,2002,24.690871752187377,37,0.6673208581672264,0.0,1,1,3.0,71.0,245.0,75.0,,,,4.62,,,,,4.25,32.5,114.0,20.0,00-0021197,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021197,2003,4.134923420060658,54,0.07657265592704922,0.6673208581672264,0,2,3.0,71.0,245.0,75.0,,,,4.62,,,,,4.25,32.5,114.0,20.0,00-0021197,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021197,2004,6.045803794520907,39,0.1550206101159207,0.07657265592704922,0,3,3.0,71.0,245.0,75.0,,,,4.62,,,,,4.25,32.5,114.0,20.0,00-0021197,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021197,2006,30.08304158803206,34,0.8847953408244723,0.2517715399638594,0,5,3.0,71.0,245.0,75.0,,,,4.62,,,,,4.25,32.5,114.0,20.0,00-0021197,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
